"name","type","show","private","city","location","longitude","latitude","adres","url","opening_hours","totalscore","accessibility","accessibility_score","vibe","vibe_score","food","food_score","furniture","furniture_score","technical","technical_score","protip"
"Au Basin (ex 'ViaVia')","Café","yes","no","Brussels","Sainte-Catherine","4.346859","50.8529624","Baksteenkaai 74, Brussel","http://viavia.world/nl/belgie/brussel","Ma,Tu,We,Th,Fr 16:00–01:00, Sa 14:00–01:00, Su 14:00–00:00","★★★","Bring anything, except maybe to much own food.","★★★★","Calm music, perfect lighting, not too shady.","★★★★","It's a café!","★★★","Standard but decent chairs and high tables.","★★★","Free WiFi, VPN working, some plugs near the walls.","★★★",""
"KBR","Library","yes","no","Brussels","Mont des arts","4.3553431","50.8436584","Keizerslaan 4, Brussel","http://kbr.be/nl","Mo,Tu,We,Th 09:00-19:00, Sa 09:00-17:00","★★","A library is card required, and you must leave your bag in a locker with coin-mechanism. The bike parking is limited.","★","Very quiet and safe.","★★★★","No food allowed, except in the cafetaria upstairs.","★","Good.","★★★","Every seat has a plug.","★★★","You can also work in the cafétaria upstairs"
"Muntpunt","Library","yes","no","Brussels","Muntplein","4.3538025","50.8493849","Munt 6, Brussel","http://muntpunt.be","Mo,Tu,Th,Fr,Sa 10:00-18:00, We 10:00-20:00","★★","A library card is required.","★★","Good vibe, although it can be quite noisy. Sit with your back to the windows if you don't want to be distracted by pedestrians.","★★★","No food available, but shops closeby.","★★","Sadly, the main bench has no backrest.","★★","VPN not working.","★★","You can rent out some books or games!"
"Belga","Café","yes","no","Brussels","Flagey","4.372799","50.8271016","Eugène Flageyplein 18, Elsene","","","★★★★","Free entrance, but gets crowded when the evening nears.","★★★","Great vibe, a lot of light, some other co-workers.","★★★★","It's a café, but they also serve very good soup and some snacks.","★★★★","Small tables, hollow chairs, quality wooden furtinure.","★★★","Plugs at sides, often taken.","★★★",""
"De Markten","Café","yes","no","Brussels","Sainte-Catherine","4.3467599","50.8504541","Oude Graanmarkt 5, Brussel","http://demarkten.be","Ma,Tu,We,Th 09:00–20:00, Fr 09:00–17:00, Sa 09:00–13:00, Su 10:00–18:00","★★★","Ordering not required","★★★★","Ordering something is not required.","★★★★","It's a café!","★★★","Chairs with armrests.","★★","Get the wifi at the bar. There are some plugs near the south wall, but those seats are quickly taken.","★★",""
"SmartBE","CoWorking space","yes","no","Brussels","Saint-Gilles","4.3383173","50.831739","Coenraetsstraat 72, Sint-Gillis","http://smart.coop","Mo,Tu,We,Th,Fr 09:00-17:00","★★★★","Free access, very safe. Limited bike parking. And important: you have to leave by 17h!","★★★★","Great working athmosphere and cosy courtyard. The bright lighting facilitates your focus.","★★★★","Free tea and soup!","★★★★","There's a lot of space with decent tables and chairs.","★★★","VPN can be problem. Ample plugs","★★","Go get a 5 euro salad at Hibiscus."
"Boentje","Café","yes","no","Brussels","Schaarbeek","4.3741619","50.8670963","Colignonplein 18, Schaarbeek","http://boentjecafe.com","Mo 08:30–15:00, Tu,We,Th,Fr 08:30–18:00, Sa,Su 10:00–18:00","★★","Ordering is appreciated","★★★","Stylish interior but feels quite small and the lighting can be dim.","★★","Responsible but expensive. The salads-in-a-jar are not as good as they look.","★★","Not that much space, but good tables.","★★★","Limited plugs.","★★","The food is expensive but very good, so give it a try!"
"The Office","Café","no","no","Brussels","European Quarter","4.3733403","50.8419087","Aarlenstraat 80, Brussel","http://theoffice.brussels","","","","","","","","","","","","",""
"CIVA","Library","yes","no","Brussels","Flagey","4.3656898","50.8287326","Kluisstraat 55, Elsene","http://civa.brussels","","★★★","A library card is required (5 euro for 1 stay, 10 euro per year), and the use of lockers is required. It's located on a steep road, so you might arrive a little sweaty.","★","Good lighting, nice building. Can get hot in summer. Library workers can make some noise.","★★★","Not allowed","★","Beautiful tables, bad chairs.","★★","Every table has a plug, but inconvenient placement under table.","★★★","Catch one of the exhibitions!"
"Faculté d’architecture de l’ULB ","University","yes","no","Brussels","Flagey","4.3734429","50.8273654","Eugène Flageyplein 19, Elsene","http://archi.ulb.be","Often closed during holidays","★★★","Free access. Don't be shy, visitors are welcome here!","★★★","Nice building and courtyard. People leave all kinds of stuff laying around.","★★★★","Very limited cafetaria","★★","Variety of tables and chairs, including some loungy soft seats.","★★★","University login required, unless temporary free wifi in place.","★","There are some nice spots on the first floor with view on the courtyard. Walk around to spot some of the maquettes!"
